"geneSym","LTM_ori","LTM_abs"
"USP46",0.987626814548118,0.987626814548118
"GOSR2",0.975247312440686,0.975247312440686
"THAP1",0.969957283532666,0.969957283532666
"MGLL",-0.965698535640807,0.965698535640807
"SRGAP3",-0.964844004759446,0.964844004759446
"ANXA3",-0.962135050195677,0.962135050195677
"SLC25A29",-0.961447581318427,0.961447581318427
"PDPN",-0.958991739800946,0.958991739800946
"CHD4",-0.958302602446898,0.958302602446898
"NELL2",-0.95813083176657,0.95813083176657
"SCUBE2",-0.95605376990826,0.95605376990826
"ZNF584",-0.953847973414522,0.953847973414522
"CREBZF",0.952250794507814,0.952250794507814
"DEPDC1B",0.947429216075236,0.947429216075236
"CRY2",-0.94672991450301,0.94672991450301
"ZNF772",0.946547250797262,0.946547250797262
"SLC39A7",-0.945768016970393,0.945768016970393
"MRC2",0.945252284507486,0.945252284507486
"TSHZ2",0.943596679919207,0.943596679919207
"TSC22D3",-0.942438543723719,0.942438543723719
"C1orf74",-0.94184739897217,0.94184739897217
"FSCN1",-0.940651431988211,0.940651431988211
"HNMT",0.939211756691119,0.939211756691119
"LMBR1L",0.936308957139119,0.936308957139119
"DQX1",0.934055900299889,0.934055900299889
"RAET1E",0.933995298502635,0.933995298502635
"TTK",0.933047137602692,0.933047137602692
"CSTF3",-0.933025464121822,0.933025464121822
"CTSS",-0.93211550822684,0.93211550822684
"MED29",-0.930539560384936,0.930539560384936
"CD82",-0.928558877409478,0.928558877409478
"ZNF441",-0.92822029364818,0.92822029364818
"CBR3",0.927850726158385,0.927850726158385
"CDC20",0.927498376436433,0.927498376436433
"PRKX",0.925796126110459,0.925796126110459
"SAP30",0.924420195849925,0.924420195849925
"GRIP1",-0.922856909929135,0.922856909929135
"GLB1L2",0.922502634375363,0.922502634375363
"PANK1",0.921149043178214,0.921149043178214
"CALR",-0.920841244202611,0.920841244202611
"SULF2",-0.920087410525388,0.920087410525388
"GIPC2",0.920049375332706,0.920049375332706
"FBXL4",0.919768268107461,0.919768268107461
"ARHGEF10",-0.919402579471528,0.919402579471528
"GLCCI1",0.919359856735893,0.919359856735893
"TIMM23 /// TIMM23B",-0.917611606340095,0.917611606340095
"TIMM17A",-0.917379717678963,0.917379717678963
"VASN",0.917320130661991,0.917320130661991
"APOE",-0.916463560610279,0.916463560610279
"RIMS3",-0.916372621119409,0.916372621119409
"ARL6",0.915783465604378,0.915783465604378
"LINC00431 /// TUBGCP3",-0.915264471239837,0.915264471239837
"NEK4",0.914817813889778,0.914817813889778
"GPD1L",0.914619289157219,0.914619289157219
"PER1",-0.914604021391926,0.914604021391926
"THRA",-0.914059519292231,0.914059519292231
"IL2RB",-0.913762055372363,0.913762055372363
"CDC34",0.913174460106983,0.913174460106983
"CCNA2",0.913051230699569,0.913051230699569
"AURKA",0.911108776128665,0.911108776128665
"CYP2C18",-0.91029839072864,0.91029839072864
"NOP2",-0.910127856176374,0.910127856176374
"PRKCA",-0.909893812572056,0.909893812572056
"ZNF709",0.908101913231824,0.908101913231824
"TRMT1L",0.908012616655595,0.908012616655595
"WNT2B",0.90673255961757,0.90673255961757
"EP400NL",-0.906600808852852,0.906600808852852
"CCNB1",0.906043022600949,0.906043022600949
"KIF2C",0.905831408427095,0.905831408427095
"MT1X",-0.905700338797069,0.905700338797069
